date,aircraft_total,median_line_cross,cross_rate,aircraft_type,ships_total,activity_start,activity_end,special_event
2026-03-27,6,4,66.7,Mixed,12,,,直升機首現（1架）
2026-03-28,13,9,69.2,Mixed,9,,,直升機2架
2026-03-29,19,13,68.4,Mixed,11,,,四方位同時越線
2026-03-30,1,1,100.0,Manned,10,,,急剎 輔戰機
2026-03-31,11,11,100.0,Manned,8,,,主輔戰機 西南空域
2026-04-01,25,16,64.0,Mixed,11,,,第二波新高 北中西南三方位
2026-04-02,2,2,100.0,Mixed,9,,,輔戰機+直升機
2026-04-03,2,0,0.0,Helicopter,8,,,純直升機日（首次）東部ADIZ
2026-04-04,2,0,0.0,Manned,8,,,進入東部空域
2026-04-05,0,0,,Zero,7,,,
2026-04-06,3,3,100.0,Manned,8,,,逾越中線進入北部及東部空域
2026-04-07,1,0,0.0,Manned,9,,,進入西南空域
2026-04-08,2,2,100.0,Mixed,10,13:00,15:40,戰機逾越海峽中線進入北部及東南部空域
2026-04-09,6,5,83.0,manned,8,,,越線：北部及西南部空域
2026-04-10,7,7,100.0,Manned,8,10:15,19:10,逾越中線進入北部及西南部空域
2026-04-11,17,15,88.24,Mixed,8,08:35,17:45,轟炸機1架次活動於台灣西南空域，逾越中線進入北部及西南部空域
2026-04-12,2,0,0.0,Manned,12,08:10,15:25,1架次進入東南部空域
2026-04-13,0,0,,Zero,10,,,上述期間未偵獲共機，故無提供航跡圖
2026-04-14,9,0,0.0,Manned,9,06:00,06:00,
2026-04-15,5,0,0.0,Manned,9,,,
2026-04-16,3,0,0.0,Manned,9,,,
2026-04-17,5,0,0.0,Mixed,6,,,東北部空域(①無人機2架) 西南部空域(②輔戰機3架次)
2026-04-18,5,0,0.0,Manned,7,,,西南及東部空域（3架次）
